region,subregion,p_total,h_total,p_1person,p_2people,p_3people,p_4people,p_5people,p_0workers,p_1worker,p_2workers,p_3workers,p_kidsinhh,p_nokidsinhh,p_no_car,p_car_comp,p_car_suff,p_income_under25k,p_income_2550k,p_income_5075k,p_income_75100k,p_income_100150k,p_income_150200k,p_income_200250k,p_income_over250k,p_headu35,p_head3564,p_heado65,p_age18_24,p_age25_34,p_age35_44,p_age45_54,p_age55_64,p_age65plus,p_male,p_female,p_ft_worker,p_pt_worker,p_nonworker,p_student,p_nonstudent,p_white,p_black,p_api,p_hispanic,p_puma_7502,p_puma_7503,p_puma_7501,p_puma_7504,p_puma_7505,p_pumas_7506_to_07,p_pumas_8101_to_06,p_pumas_8508_to_14,p_pumas_8501_to_07,p_pumas_101_to_102_to_104,p_pumas_103_105_to_10,p_pumas_to_1301_to_09,p_pumas_9501_to_03,p_pumas_5500_9701_to_03,p_pumas_4101_to_02,p_pumas_16,p_pumas_04_09,p_pumas_08_11,p_pumas_10,p_pumas_12,p_pumas_13_14,p_pumas_15,p_pumas_1_2_3_5_6_7,p_pumas_17,p_pumas_18_to_22,puma_3728,puma_3729,puma_3730,puma_3731,puma_3732_33,puma_3734_44,pumas_3_1,pumas_3_2,pumas_4_1,pumas_4_2,pumas_4_3,pumas_5_1,pumas_5_2
bayarea,1,216971,120324,44864,91174,38179,27153,15601,24804,69458,84100,38609,35400,181571,90132,79025,47814,24648,24169,18056,20955,28159,26580,16493,57911,85826,101669,29476,17239,77548,45331,29047,22637,25169,111903,105068,139860,28369,48742,19747,197224,103204,6595,78409,28763,93918,123053,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,2,205429,108660,33434,85936,42976,25281,17802,21944,52816,96742,33927,43293,162136,40777,97656,66996,13267,10597,14467,16370,29080,31446,22319,67883,67677,105970,31782,11878,68113,44431,33001,23710,24296,106667,98762,146320,16275,42834,12695,192734,115791,9423,56098,24117,0,0,111570,93859,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,3,263461,106703,19686,63667,55136,48877,76095,22222,67812,88468,84959,80861,182600,18863,146649,97949,14391,23860,27751,29374,49209,41023,21450,56403,44155,159626,59680,23381,56002,46980,47920,44207,44971,136817,126644,149518,36767,77176,30965,232496,77398,19552,126471,40040,0,0,0,0,84936,178525,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,4,1941205,860510,145438,530269,430718,414655,420125,181204,532101,755593,472307,781423,1159782,56683,588736,1295786,97599,155014,179237,185176,369255,287465,209335,458124,341648,1250299,349258,195830,412887,380232,360228,299640,292388,982005,959200,1151709,225051,564445,190862,1750343,684570,51039,767630,437966,0,0,0,0,0,0,563007,619131,759067,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,5,2009829,921157,174313,561738,434343,413644,425791,206339,578798,810502,414190,791263,1218566,84232,635497,1290100,135041,193001,228352,230141,408029,304975,193714,316576,366822,1273541,369466,203771,412252,393110,368631,327308,304757,983740,1026089,1150968,247450,611411,193940,1815889,787014,197606,594946,430263,0,0,0,0,0,0,0,0,0,324530,871348,813951,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,6,944211,451113,94050,307156,181850,186036,175119,130102,281140,348031,184938,345123,599088,20217,202686,721308,59517,107272,129047,126774,215451,124645,65219,116286,128875,588310,227026,96521,159280,160755,166390,169099,192166,457912,486299,498065,143152,302994,75686,868525,561766,56576,110994,214875,0,0,0,0,0,0,0,0,0,0,0,0,309443,448243,186525,,,,,,,,,,,,,,,,,,,,,,,
sandag,7,142167,80917,30416,62530,25216,14000,10005,17735,44120,65194,15118,24811,117356,9408,40876,91883,13212,23820,25855,18704,31602,12292,5480,11202,45615,73967,22585,12384,45483,28792,21524,16083,17901,73883,68284,89423,18512,34232,16027,126140,77407,8545,14304,41911,,,,,,,,,,,,,,,,142167,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
sandag,8,514679,257910,53334,187548,102061,106961,64775,79844,165145,203998,65692,180744,333935,10363,104392,399924,32150,45046,52809,60408,110827,72499,51204,89736,85703,320721,108255,41575,95478,99831,93706,89379,94710,251995,262684,275036,68254,171389,41060,473619,347945,9995,101051,55688,,,,,,,,,,,,,,,,0,217501,175100,122078,0,0,0,0,0,0,,,,,,,,,,,,,
sandag,9,449582,216521,44196,149164,111805,79681,64736,57599,142005,180264,69714,145345,304237,15712,119903,313967,48345,72560,62562,60230,87382,58941,26478,33084,126174,249348,74060,59822,116156,81161,66430,62914,63099,221606,227976,241423,63587,144572,60337,389245,262029,23228,83522,80803,,,,,,,,,,,,,,,,0,0,0,0,84458,229728,135396,0,0,0,,,,,,,,,,,,,
sandag,10,1238008,526191,80575,297531,248345,250158,361399,136830,348652,448667,303859,519820,718188,33767,398457,805784,123205,215193,206496,168541,260935,147649,61198,54791,217353,794265,226390,174071,270186,223212,207574,190264,172701,615993,622015,652729,164367,420912,148519,1089489,453368,72772,160497,551371,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,563100,124482,550426,,,,,,,,,,,,,
scag,11,440233,256722,109591,166055,75414,56438,32735,56581,170754,170285,42613,89476,350757,28566,116793,294874,46497,58215,64040,54405,78550,49790,22561,66175,137524,229738,72971,44186,124705,81963,69165,58971,61243,218725,221508,262551,58995,118687,51856,388377,260271,26662,84216,69084,,,,,,,,,,,,,,,,,,,,,,,,,,79462,153770,115572,91429,0,0,0,0,0,0,0,0,0
scag,12,491173,246485,87232,139820,89657,85427,89037,45667,165065,174649,105792,141300,349873,68565,229055,193553,86432,102991,95271,65290,81103,23991,15220,20875,142153,287424,61596,54814,150767,100853,75464,60531,48744,234113,257060,277157,76040,137976,51627,439546,106739,29558,107481,247395,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,215770,275403,0,0,0,0,0,0,0
scag,13,1261426,473626,55693,184892,222177,281953,516711,90398,326293,426248,418487,640644,620782,57882,616373,587171,141552,246497,266772,195064,246823,93900,35174,35644,209691,854850,196885,185781,299396,240993,218590,172034,144632,638957,622469,668677,162479,430270,136786,1124640,91085,94712,96620,979009,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,715048,546378,0,0,0,0,0
scag,14,1610156,748146,183701,416720,330990,321614,357131,178515,496985,579803,354853,611678,998478,64860,550907,994389,151313,260275,268113,229415,314402,166811,84379,135448,273992,1040690,295474,185698,341044,300474,296208,254663,232069,831311,778845,882380,207396,520380,172370,1437786,427785,282597,268637,631137,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,664833,497902,447421,0,0
scag,15,1850029,799602,144766,448573,392927,384168,479595,201485,492375,665188,490981,733109,1116920,48797,581765,1219467,154359,239675,265521,252816,385928,250257,109909,191564,324881,1195080,330068,229469,384388,329535,335662,295023,275952,936870,913159,1009230,250437,590362,226642,1623387,701064,35425,477076,636464,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,782568,1067461
